Player,School,G,GS,MP,FG,FGA,FGP,2P,2PA,2PP,3P,3PA,3P%,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,SOS
Armon Johnson,Nevada,101,99,32.7,5.4,11.6,.467,4.7,9.2,.514,0.7,2.4,.289,2.8,3.7,.750,0.8,2.9,3.7,4.4,0.8,0.2,2.7,14.3,1.28
Chris Johnson,Dayton,138,93,24.9,3.4,7.9,.427,1.7,3.3,.505,1.7,4.6,.371,2.1,2.6,.826,2.3,3.9,6.1,1.1,0.8,0.4,1.1,10.6,3.72
Wesley Johnson,Charleston Southern,52,8,8.8,0.5,1.0,.529,0.5,1.0,.529,0.0,0.0,,0.6,1.2,.508,0.7,0.8,1.5,0.1,0.2,0.3,0.3,1.6,-3.91
Dominique Jones,South Florida,95,94,36.5,6.2,14.1,.442,4.5,8.9,.512,1.7,5.2,.323,4.8,6.5,.737,1.5,3.9,5.4,3.5,1.5,0.4,2.6,18.9,7.32
Gani Lawal,Georgia Tech,99,91,24.3,4.5,8.2,.548,4.5,8.2,.550,0.0,0.0,.000,2.8,5.0,.552,2.7,4.5,7.2,0.4,0.6,1.3,2.1,11.8,8.64
Jeremy Lin,Harvard,115,87,29.2,4.4,9.1,.481,3.5,6.3,.547,0.9,2.8,.333,3.2,4.3,.733,0.9,3.4,4.3,3.5,2.0,0.6,2.9,12.9,-4.84
Greg Monroe,Georgetown,65,65,32.6,5.3,9.8,.543,5.2,9.3,.558,0.1,0.5,.273,3.7,5.5,.677,2.1,6.1,8.2,3.2,1.5,1.5,2.9,14.5,9.26
Hamady N'Diaye,Rutgers,124,85,22.1,2.2,4.0,.539,2.2,4.0,.542,0.0,0.0,.000,1.5,2.5,.592,1.8,3.7,5.5,0.4,0.4,2.9,1.4,5.8,6.36
Gary Neal,Towson,49,46,36.1,8.3,18.6,.446,5.1,9.8,.523,3.2,8.8,.360,5.9,7.2,.823,0.8,3.3,4.1,3.3,1.6,0.2,2.7,25.6,
Larry Owens,Oral Roberts,66,48,29.0,4.3,7.9,.545,3.9,6.7,.580,0.4,1.2,.346,1.8,3.2,.569,2.7,5.0,7.7,2.8,1.6,1.1,2.3,10.9,-2.20
Patrick Patterson,Kentucky,97,97,34.0,6.4,10.9,.585,6.1,10.1,.604,0.2,0.8,.329,3.2,4.3,.734,2.9,5.3,8.2,1.5,0.7,1.6,1.6,16.1,6.24
Dexter Pittman,Texas,134,59,12.2,2.5,4.0,.623,2.5,4.0,.623,0.0,0.0,,1.6,2.6,.601,2.0,1.9,3.9,0.3,0.2,0.9,1.1,6.6,7.54
Quincy Pondexter,Washington,136,102,27.3,4.8,9.5,.503,4.4,8.3,.528,0.4,1.2,.327,3.1,4.1,.768,2.4,3.2,5.6,1.7,0.8,0.3,1.9,13.1,7.55
Andy Rautins,Syracuse,127,65,24.4,2.8,7.1,.396,0.6,1.2,.506,2.2,5.9,.374,0.9,1.2,.763,0.4,2.2,2.6,2.7,1.4,0.2,1.7,8.8,7.83
Samardo Samuels,Louisville,70,70,27.1,4.8,8.8,.549,4.8,8.8,.549,0.0,0.0,.000,3.8,5.5,.689,2.9,3.0,5.9,1.1,0.6,1.2,2.3,13.5,8.20
Larry Sanders,VCU,101,82,23.5,4.1,7.9,.520,4.1,7.7,.526,0.0,0.2,.250,2.1,3.6,.577,2.5,5.2,7.7,0.5,0.6,2.7,1.5,10.3,-0.69
Mustafa Shakur,Arizona,131,129,31.0,3.4,7.6,.452,2.6,5.4,.490,0.8,2.2,.355,2.5,3.1,.786,0.7,3.0,3.7,5.1,1.2,0.1,3.0,10.1,8.88
Lance Stephenson,Cincinnati,34,32,28.2,4.8,10.8,.440,4.3,8.7,.495,0.5,2.1,.219,2.3,3.5,.664,1.9,3.5,5.4,2.5,0.9,0.2,2.4,12.3,8.45
Evan Turner,Ohio State,101,94,32.8,5.3,10.6,.502,4.8,9.1,.525,0.5,1.5,.362,3.8,5.0,.758,1.5,5.3,6.8,4.1,1.6,0.7,3.5,15.0,7.86
Ekpe Udoh,Baylor,36,36,35.1,5.3,10.8,.490,5.1,10.1,.505,0.2,0.7,.269,3.1,4.5,.685,3.6,6.2,9.8,2.7,0.8,3.7,2.4,13.9,
Ben Uzoh,Tulsa,141,140,32.3,4.7,10.3,.454,3.4,6.8,.508,1.2,3.5,.349,3.3,4.2,.782,1.2,3.8,5.0,3.0,1.1,0.7,2.4,13.8,2.63
Greivis Vasquez,Maryland,136,123,33.6,5.5,13.0,.425,3.8,7.9,.487,1.7,5.1,.329,3.2,3.9,.828,1.0,3.8,4.8,5.7,1.4,0.3,3.3,16.0,7.95
John Wall,Kentucky,37,37,34.8,5.5,11.8,.461,4.5,8.8,.509,1.0,3.1,.325,4.7,6.3,.754,0.8,3.5,4.3,6.5,1.8,0.5,4.0,16.6,6.82
Willie Warren,Oklahoma,57,53,31.7,4.9,10.6,.459,3.2,5.8,.550,1.7,4.9,.350,3.8,4.8,.788,0.6,2.1,2.6,3.5,1.1,0.1,2.8,15.2,7.33
Hassan Whiteside,Marshall,34,23,26.1,4.9,9.4,.524,4.8,9.2,.522,0.1,0.1,.600,3.2,5.5,.588,2.7,6.2,8.9,0.3,0.6,5.4,1.9,13.1,1.57
Antonio Anderson,Memphis,150,133,29.8,2.9,6.9,.418,2.0,3.9,.501,0.9,3.0,.308,1.8,2.8,.648,1.0,3.0,4.0,3.6,1.4,0.3,1.6,8.5,4.63
DeJuan Blair,Pitt,72,71,26.6,5.5,9.6,.568,5.5,9.6,.568,0.0,0.0,,2.7,4.3,.614,4.7,6.0,10.7,1.1,1.6,1.0,1.6,13.6,8.22
Jon Brockman,Washington,131,129,28.7,5.5,10.3,.534,5.5,10.3,.534,0.0,0.0,.000,2.8,4.6,.612,3.7,6.1,9.8,1.0,0.8,0.1,2.1,13.8,7.16
Derrick Brown,Xavier,106,72,25.0,3.7,6.5,.573,3.2,5.3,.610,0.5,1.2,.415,2.4,3.3,.718,1.9,3.7,5.6,1.5,0.7,0.8,1.6,10.3,4.50
Chase Budinger,Arizona,100,100,35.4,6.0,12.8,.469,4.1,7.8,.524,1.9,5.0,.383,3.1,4.0,.782,1.4,4.4,5.8,2.8,1.3,0.4,2.1,17.0,9.93
DeMarre Carroll,Missouri,70,68,26.8,5.8,10.6,.549,5.6,9.7,.570,0.3,0.9,.311,3.0,4.8,.624,2.6,4.3,6.9,1.8,1.4,0.7,1.5,14.9,
Earl Clark,Louisville,104,63,26.7,4.0,8.6,.467,3.5,6.8,.512,0.5,1.8,.298,2.0,3.2,.640,2.1,4.9,7.0,1.7,0.9,1.2,2.1,10.6,8.03
Darren Collison,UCLA,142,104,29.2,4.0,8.3,.475,2.8,5.7,.494,1.2,2.7,.435,2.5,2.9,.851,0.4,1.8,2.3,4.1,1.6,0.1,2.4,11.5,8.25
Dante Cunningham,Villanova,139,104,27.2,3.7,7.1,.524,3.7,7.0,.525,0.0,0.0,.333,2.2,3.2,.693,2.5,3.4,5.9,1.0,1.2,0.8,1.8,9.6,8.70
JamesOn Curry,Oklahoma State,101,83,32.0,4.7,10.7,.437,2.7,5.9,.464,2.0,4.8,.404,2.2,2.9,.758,0.5,2.4,2.9,3.5,1.0,0.2,2.8,13.5,7.56
Stephen Curry,Davidson,104,103,32.6,8.4,17.9,.467,4.4,8.3,.530,4.0,9.7,.412,4.6,5.3,.876,0.8,3.8,4.5,3.7,2.1,0.3,3.0,25.3,-1.31
Austin Daye,Gonzaga,67,34,22.5,4.1,8.6,.477,3.2,6.4,.495,0.9,2.2,.422,2.5,3.1,.790,0.9,4.9,5.8,1.0,0.7,1.9,1.9,11.6,2.85
DeMar DeRozan,USC,35,35,33.4,5.5,10.5,.523,5.3,9.5,.562,0.2,1.0,.167,2.7,4.2,.646,2.4,3.3,5.7,1.5,0.9,0.4,2.1,13.9,9.15
Toney Douglas,Florida State,99,95,33.8,5.7,12.6,.448,3.9,7.9,.491,1.8,4.8,.376,3.6,4.5,.806,0.8,2.5,3.3,2.9,1.9,0.3,2.6,16.7,
Wayne Ellington,UNC,115,112,28.5,5.4,11.6,.463,3.4,6.6,.513,2.0,5.0,.397,2.0,2.5,.809,1.1,3.0,4.1,2.2,0.9,0.1,1.5,14.7,8.59
Tyreke Evans,Memphis,37,35,29.0,6.2,13.6,.455,5.3,10.3,.514,0.9,3.4,.274,3.7,5.2,.711,1.3,4.1,5.4,3.9,2.1,0.8,3.6,17.1,4.63
Jonny Flynn,Syracuse,73,73,36.5,5.6,12.2,.460,4.2,8.1,.525,1.4,4.2,.333,4.0,5.1,.782,0.6,2.1,2.7,6.0,1.5,0.2,3.1,16.6,8.72
Sundiata Gaines,Georgia,123,123,31.7,4.1,10.0,.411,3.1,6.7,.464,1.0,3.3,.303,2.7,4.6,.591,1.9,3.6,5.5,3.9,2.1,0.2,2.6,11.9,6.88
Alonzo Gee,Alabama,128,104,28.6,4.7,10.4,.447,3.8,7.6,.491,0.9,2.8,.325,2.5,4.0,.632,2.4,3.3,5.7,1.3,1.2,0.4,2.1,12.7,6.00
Taj Gibson,USC,105,104,32.7,4.8,8.2,.580,4.8,8.2,.580,0.0,0.0,,2.9,4.6,.629,2.9,5.6,8.5,1.4,0.7,2.4,2.5,12.4,8.54
Trey Gilder,Northwestern State,60,32,22.7,5.0,10.1,.497,4.6,8.5,.540,0.4,1.6,.263,4.1,5.2,.782,1.9,3.0,4.9,1.5,1.3,0.6,2.5,14.5,
Danny Green,UNC,145,39,19.9,3.4,7.4,.455,2.1,4.1,.522,1.3,3.4,.375,1.4,1.6,.845,1.4,2.7,4.1,1.8,1.1,1.1,1.4,9.4,8.39
Taylor Griffin,Oklahoma,129,78,22.3,2.3,4.9,.468,2.2,4.5,.493,0.1,0.5,.220,1.9,2.6,.721,1.7,3.0,4.8,1.0,0.9,0.8,1.4,6.6,7.19
Tyler Hansbrough,UNC,142,141,30.9,6.6,12.3,.536,6.5,12.1,.541,0.1,0.3,.316,6.9,8.7,.791,3.4,5.2,8.6,1.1,1.3,0.5,2.1,20.2,8.39
James Harden,Arizona State,69,68,35.0,6.0,11.9,.506,4.6,8.0,.570,1.5,3.9,.376,5.4,7.2,.755,1.3,4.1,5.4,3.7,1.9,0.4,3.0,19.0,7.05
Gerald Henderson,2.5,0.2,3.1,2.7,16.1,,-5.87,VCU,,103,,32.9,6.6,13.8,.481,1.7,2.8,.627,3.2,2.5,2.1,0.3,4.2,15.0,-6.46
Jordan Hill,Arizona,97,79,27.0,5.1,8.8,.578,5.1,8.8,.578,0.0,0.0,,2.3,3.6,.636,2.8,5.1,7.9,0.8,0.5,1.4,2.0,12.5,9.93
Jrue Holiday,UCLA,35,35,27.1,3.2,7.1,.450,2.4,4.6,.528,0.8,2.5,.307,1.3,1.8,.726,1.3,2.5,3.8,3.7,1.6,0.5,2.1,8.5,7.18
Lester Hudson,UT-Martin,65,64,36.5,9.3,20.4,.456,5.8,10.8,.530,3.5,9.5,.372,4.4,5.2,.858,2.2,5.7,7.9,4.4,2.6,0.6,3.6,26.6,-5.64
Chris Hunter,Michigan,105,27,18.4,2.4,5.1,.464,2.0,4.1,.501,0.3,1.0,.318,1.9,2.5,.749,1.3,2.3,3.5,0.5,0.5,0.9,1.5,7.0,7.05
Cedric Jackson,Cleveland State,71,71,32.2,4.0,9.8,.405,2.9,6.6,.432,1.1,3.2,.350,3.2,4.9,.659,1.0,4.4,5.3,5.2,2.8,0.2,3.7,12.3,
Othyus Jeffers,UIC,63,62,32.6,5.1,10.6,.477,5.0,10.4,.482,0.0,0.2,.167,3.4,5.6,.607,3.4,4.7,8.1,2.8,1.3,0.4,2.8,13.5,0.45
Brandon Jennings,Fort Wayne,52,8,15.0,1.3,2.8,.448,1.0,2.0,.491,0.3,0.8,.333,0.5,0.7,.771,0.9,1.7,2.6,0.6,0.5,0.0,0.6,3.3,-0.63
James Johnson,Quinnipiac,127,127,33.7,4.6,11.9,.385,2.9,7.3,.394,1.7,4.6,.370,2.8,3.5,.792,0.8,2.7,3.5,3.8,1.5,0.1,2.2,13.6,-7.53
Oliver Lafayette,Houston,64,63,34.4,4.9,13.6,.359,2.4,5.8,.409,2.5,7.8,.322,2.7,3.8,.725,1.3,3.7,5.1,2.5,2.9,0.2,2.0,15.0,2.54
Marcus Landry,Wisconsin,121,75,25.0,3.5,7.2,.490,3.0,5.8,.523,0.5,1.5,.361,1.6,2.4,.670,1.5,2.7,4.2,1.2,0.6,0.8,1.5,9.2,7.34
Ty Lawson,UNC,105,95,27.0,4.4,8.5,.517,3.3,5.9,.568,1.1,2.6,.403,3.2,4.1,.780,0.6,2.3,2.9,5.8,1.8,0.1,2.1,13.1,8.59
Wesley Matthews,Marquette,127,118,30.2,4.0,9.1,.444,3.2,6.8,.480,0.8,2.3,.341,4.3,5.4,.799,1.6,3.4,4.9,2.1,1.2,0.3,2.2,13.2,7.77
Eric Maynor,VCU,130,104,30.7,5.0,11.2,.449,3.9,8.3,.477,1.1,3.0,.370,3.9,4.9,.791,0.5,2.9,3.4,5.2,1.3,0.2,2.4,15.0,-0.76
Jodie Meeks,Kentucky,81,42,27.7,4.8,10.9,.436,2.6,5.2,.491,2.2,5.7,.386,3.7,4.1,.890,0.7,2.4,3.0,1.6,1.1,0.1,1.8,15.4,7.77
A.J. Price,UConn,99,91,29.4,4.3,10.5,.413,2.7,6.1,.447,1.6,4.4,.365,2.7,3.7,.722,0.8,2.6,3.4,4.7,1.1,0.1,2.4,13.0,7.14
DaJuan Summers,Georgetown,101,98,27.6,3.6,8.3,.439,2.2,4.2,.522,1.4,4.1,.353,2.5,3.4,.727,1.3,3.1,4.4,1.3,1.0,0.6,2.2,11.2,8.56
Jermaine Taylor,UCF,122,60,25.8,5.8,12.5,.466,3.8,7.0,.536,2.1,5.5,.376,2.5,3.3,.764,1.5,2.3,3.9,1.4,0.9,0.4,2.2,16.2,0.56
Jeff Teague,Wake Forest,61,52,30.9,5.2,11.2,.462,3.9,8.2,.477,1.3,3.0,.421,4.8,5.9,.812,0.5,2.5,3.0,3.0,1.9,0.6,3.0,16.4,8.09
Garrett Temple,LSU,134,131,33.1,2.2,5.9,.371,1.3,2.9,.470,0.8,3.0,.278,1.5,1.9,.783,0.8,2.9,3.7,3.6,1.4,0.8,2.2,6.7,6.28
Hasheem Thabeet,UConn,100,99,29.3,3.6,5.9,.611,3.6,5.9,.611,0.0,0.0,,3.1,5.0,.625,3.0,5.4,8.5,0.4,0.4,4.2,1.8,10.3,7.14
Marcus Thornton,LSU,66,65,32.7,7.1,15.6,.455,4.5,8.9,.510,2.5,6.7,.382,3.7,4.8,.771,2.0,3.5,5.5,1.8,1.5,0.3,2.0,20.4,4.46
Reggie Williams,Georgetown,138,75,29.2,5.9,12.0,.490,6.1,11.4,.532,2.3,5.9,.386,3.1,4.0,.768,,,6.4,2.4,1.5,0.5,2.3,15.3,6.58
Terrence Williams,Louisville,140,127,32.2,4.1,10.3,.400,2.7,6.0,.457,1.4,4.4,.320,1.5,2.6,.589,1.5,5.5,6.9,3.9,1.5,0.6,2.4,11.2,7.65
Sam Young,Pitt,143,78,25.5,5.0,10.1,.498,4.2,7.8,.539,0.8,2.3,.356,2.4,3.4,.692,1.8,3.2,5.0,1.0,0.8,0.8,1.9,13.2,8.00
Joe Alexander,West Virginia,82,70,25.3,4.5,10.0,.447,3.9,7.9,.488,0.6,2.1,.295,2.5,3.3,.765,1.5,3.3,4.8,2.0,0.6,1.2,1.8,12.1,7.04
Ryan Anderson,California,66,66,33.0,6.3,13.1,.484,4.5,8.5,.532,1.8,4.7,.396,4.2,5.0,.841,2.7,6.3,9.0,1.0,0.5,0.5,1.8,18.7,8.56
Darrell Arthur,Kansas,78,46,21.9,4.7,8.7,.541,4.7,8.5,.552,0.0,0.2,.118,1.8,2.7,.676,2.2,3.3,5.5,0.6,0.7,1.4,1.6,11.3,7.53
D.J. Augustin,Texas,73,73,36.5,5.4,12.2,.443,3.8,8.2,.463,1.6,4.1,.402,4.4,5.5,.808,0.6,2.3,2.9,6.2,1.4,0.0,3.0,16.9,7.35
Jerryd Bayless,Arizona,30,30,35.7,5.8,12.6,.458,3.8,7.8,.489,2.0,4.8,.407,6.2,7.4,.839,0.4,2.3,2.7,4.0,1.0,0.1,3.0,19.7,10.22
Michael Beasley,Kansas State,33,33,31.5,9.3,17.5,.532,8.2,14.6,.562,1.1,2.9,.379,6.5,8.5,.774,4.0,8.4,12.4,1.2,1.3,1.6,2.9,26.2,7.79
Bobby Brown,Cal State Fullerton,116,103,34.2,6.0,13.9,.428,3.3,6.9,.480,2.6,7.0,.377,2.3,2.9,.789,0.5,2.0,2.5,4.4,1.3,0.1,3.1,16.9,-2.50
Mario Chalmers,Kansas,110,96,28.5,4.0,8.3,.486,2.4,4.4,.545,1.6,3.9,.419,2.5,3.2,.767,0.3,2.5,2.8,3.8,2.6,0.4,2.4,12.2,7.56
Joe Crawford,Kentucky,127,76,25.3,4.0,9.2,.438,2.6,5.0,.512,1.5,4.2,.350,1.8,2.6,.702,1.2,2.2,3.4,1.5,0.5,0.2,1.6,11.3,8.87
Joey Dorsey,Memphis,149,112,21.7,2.7,4.4,.614,2.7,4.4,.614,0.0,0.0,,1.3,3.1,.420,3.4,4.7,8.1,0.5,1.1,1.8,1.3,6.7,4.83
Chris Douglas-Roberts,Memphis,109,100,26.1,5.1,9.4,.540,4.4,7.6,.579,0.7,1.8,.372,3.3,4.6,.725,1.2,2.4,3.7,1.7,1.0,0.4,2.0,14.2,4.64
J.R. Giddens,New Mexico,59,55,31.3,6.2,12.9,.481,5.1,9.3,.545,1.1,3.6,.313,2.6,4.4,.588,1.5,6.3,7.8,2.8,1.2,0.9,2.4,16.1,
Eric Gordon,Indiana,32,32,34.7,5.8,13.3,.433,3.6,6.8,.525,2.2,6.5,.337,7.2,8.7,.834,0.7,2.5,3.3,2.4,1.3,0.6,3.6,20.9,6.08
Donte Greene,Syracuse,35,35,35.8,6.2,14.9,.418,3.7,7.4,.492,2.6,7.5,.345,2.7,3.8,.707,1.7,5.5,7.2,2.0,1.3,1.6,2.6,17.7,7.96
Malik Hairston,Oregon,117,115,31.2,5.2,10.4,.504,4.0,7.2,.551,1.2,3.1,.395,2.4,3.7,.643,2.0,3.1,5.1,2.1,0.6,0.6,2.0,14.1,6.87
Roy Hibbert,Georgetown,136,121,23.3,4.2,7.0,.603,4.2,7.0,.602,0.0,0.0,1.000,2.4,3.5,.680,2.3,3.7,5.9,1.3,0.4,1.9,1.5,10.9,7.54
J.J. Hickson,NC State,31,26,28.7,5.3,8.9,.591,5.3,8.9,.593,0.0,0.0,.000,4.3,6.3,.677,2.6,5.9,8.5,1.0,0.7,1.5,2.7,14.8,9.06
George Hill,IUPUI,95,87,33.3,5.6,10.7,.529,4.7,8.3,.565,0.9,2.3,.404,4.8,6.1,.785,1.9,3.8,5.8,3.3,1.6,0.3,2.5,17.0,-3.26
Steven Hill,Arkansas,132,106,19.5,1.7,2.9,.589,1.7,2.9,.591,0.0,0.0,.000,0.6,1.2,.519,1.2,2.1,3.3,0.3,0.7,2.4,1.0,4.0,6.31
Othello Hunter,Ohio State,76,45,22.2,3.3,5.6,.583,3.2,5.4,.591,0.1,0.2,.308,1.2,2.0,.603,2.3,3.1,5.5,0.6,0.5,1.3,1.0,7.8,8.50
Darnell Jackson,Kansas,125,39,16.6,2.5,4.3,.580,2.5,4.2,.583,0.0,0.0,.333,1.8,2.6,.685,1.7,3.2,4.9,0.5,0.5,0.4,1.0,6.8,8.38
Dontell Jefferson,Arkansas,62,28,19.8,1.2,3.0,.389,0.9,1.9,.450,0.3,1.0,.277,1.0,1.5,.670,0.5,2.1,2.6,3.3,1.1,0.3,2.0,3.6,4.88
Trey Johnson,Jackson State,67,66,36.4,8.4,19.6,.431,6.3,13.8,.455,2.2,5.8,.375,6.3,8.4,.746,1.5,3.2,4.7,2.4,1.2,0.1,3.2,25.3,
DeAndre Jordan,Texas A&M,35,21,20.1,3.2,5.2,.617,3.2,5.2,.617,0.0,0.0,,1.5,3.4,.437,1.9,4.1,6.0,0.4,0.2,1.3,1.6,7.9,7.46
Kosta Koufos,Ohio State,37,35,27.1,6.0,11.8,.508,5.4,10.1,.535,0.6,1.7,.349,1.8,2.7,.680,2.6,4.0,6.7,0.5,0.4,1.8,1.5,14.4,7.97
Rob Kurz,Notre Dame,108,75,23.3,2.8,6.0,.468,2.1,4.4,.490,0.7,1.6,.409,3.1,3.8,.810,2.0,4.0,6.0,1.3,0.6,1.1,1.5,9.4,6.22
Courtney Lee,Western Kentucky,127,127,31.2,6.3,13.6,.464,4.4,8.8,.498,1.9,4.8,.401,3.1,3.7,.817,1.7,3.5,5.2,2.2,1.9,0.6,2.5,17.6,-1.08
Brook Lopez,Stanford,53,43,28.0,6.1,12.7,.480,6.1,12.3,.491,0.1,0.4,.143,3.7,4.9,.764,2.3,4.8,7.1,1.1,0.5,1.9,2.1,16.0,8.00
Robin Lopez,Stanford,67,61,24.3,3.5,6.9,.511,3.5,6.9,.511,0.0,0.0,.500,1.9,3.1,.612,2.6,3.1,5.6,0.8,0.3,2.3,1.6,9.0,8.00
Kevin Love,UCLA,39,38,29.6,5.8,10.4,.559,5.1,8.3,.611,0.7,2.1,.354,5.1,6.6,.767,3.6,7.0,10.6,1.9,0.7,1.4,2.0,17.5,7.71
Cartier Martin,Kansas State,112,77,27.6,4.6,10.1,.458,3.0,6.1,.497,1.6,4.0,.399,2.9,3.8,.780,1.7,3.1,4.8,1.5,0.7,0.2,1.7,13.8,6.11
O.J. Mayo,USC,33,32,36.8,7.2,16.2,.442,4.5,9.7,.464,2.7,6.5,.409,3.7,4.6,.803,1.1,3.5,4.5,3.3,1.5,0.4,3.5,20.7,8.59
JaVale McGee,Nevada,66,31,18.7,3.5,6.5,.542,3.3,5.9,.563,0.2,0.7,.356,1.4,2.7,.514,1.7,3.0,4.8,0.3,0.5,1.8,1.6,8.7,0.49
Anthony Morrow,Georgia Tech,123,70,23.6,3.8,8.8,.437,1.7,3.8,.458,2.1,5.0,.421,1.6,1.8,.867,1.2,2.0,3.3,1.0,0.8,0.2,1.1,11.4,8.60
DeMarcus Nelson,Duke,124,74,26.2,3.8,8.2,.466,2.8,5.5,.511,1.0,2.7,.373,2.1,3.7,.586,1.4,3.5,4.9,1.8,1.2,0.3,2.1,10.8,9.64
Greg Oden,Ohio State,32,31,28.9,5.9,9.6,.616,5.9,9.6,.616,0.0,0.0,,3.8,6.1,.628,3.5,6.0,9.6,0.7,0.6,3.3,2.0,15.7,9.03
Anthony Randolph,LSU,31,31,32.8,5.9,12.7,.464,5.8,12.1,.483,0.1,0.6,.105,3.7,5.4,.693,2.8,5.7,8.5,1.2,1.1,2.3,3.0,15.6,5.66
Derrick Rose,Memphis,40,39,29.2,5.2,10.9,.477,4.3,8.3,.521,0.9,2.6,.337,3.7,5.1,.712,1.4,3.2,4.5,4.7,1.2,0.4,2.7,14.9,5.76
Brandon Rush,Kansas,109,101,31.3,4.9,10.9,.449,3.0,6.6,.458,1.9,4.3,.435,1.8,2.5,.733,1.5,4.0,5.5,2.0,0.7,0.8,2.1,13.6,7.56
Walter Sharpe,Alabama-Birmingham,12,10,24.9,5.7,10.8,.523,5.7,10.6,.535,0.0,0.3,.000,2.8,5.4,.523,1.8,5.0,6.8,1.7,1.2,1.8,2.8,14.2,
Sean Singletary,Virginia,123,123,32.8,5.2,12.9,.406,3.4,7.9,.433,1.8,5.0,.362,4.7,5.5,.846,1.0,3.0,4.0,4.8,1.6,0.1,3.3,16.9,7.98
Marreese Speights,Florida,69,36,15.4,4.0,6.2,.633,4.0,6.2,.633,0.0,0.0,,1.6,2.3,.688,1.9,3.6,5.4,0.5,0.3,0.9,1.1,9.5,6.16
Mike Taylor,Iowa State,31,30,35.0,5.3,14.2,.376,2.8,7.3,.391,2.5,6.9,.360,2.8,4.2,.682,0.7,3.4,4.1,4.5,1.1,0.1,5.4,16.0,5.19
Jason Thompson,Rider,122,112,32.1,6.2,11.8,.526,6.0,11.0,.544,0.2,0.8,.291,4.0,6.0,.667,3.0,6.6,9.6,2.0,0.9,1.9,2.6,16.7,-3.38
Anthony Tolliver,Creighton,124,93,21.5,2.9,5.8,.491,2.7,5.3,.506,0.2,0.5,.333,2.2,3.3,.671,1.8,3.1,4.9,1.1,0.6,1.1,1.4,8.1,4.21
Kyle Weaver,Washington State,121,103,29.8,3.3,7.2,.464,3.0,5.9,.505,0.4,1.3,.277,2.6,3.6,.716,1.3,3.4,4.7,3.8,1.6,0.8,2.6,9.6,6.88
Sonny Weems,Arkansas,69,66,31.2,5.2,11.0,.473,3.8,7.3,.527,1.3,3.7,.366,1.6,2.1,.767,1.6,3.0,4.6,2.3,1.3,0.3,2.7,13.3,7.74
Russell Westbrook,UCLA,75,35,21.9,3.1,6.6,.464,2.6,5.3,.491,0.5,1.3,.354,1.7,2.4,.685,0.9,1.5,2.4,2.5,1.0,0.1,1.6,8.3,8.77
D.J. White,Indiana,99,97,30.6,5.5,9.8,.562,5.5,9.8,.563,0.0,0.0,.333,3.5,5.1,.690,2.4,5.1,7.6,0.9,0.7,2.0,1.7,14.6,7.95
Jawad Williams,UNC,128,105,27.0,4.6,9.5,.487,3.6,6.7,.544,1.0,2.8,.349,2.5,3.5,.724,1.8,3.0,4.8,1.5,0.7,0.7,1.6,12.7,10.88
