Player,School,G,FGP,3P%,FTP,TRB,AST,STL,BLK,TOV,PTS
Jaylen Adams,St. Bonaventure,110,.427,.394,.838,3.4,5.4,1.5,0.2,2.9,17.4
Deng Adel,Louisville,89,.438,.348,.776,4.1,2.0,0.5,0.3,1.7,11.2
DeVaughn Akoon-Purcell,Illinois State,60,.428,.301,.739,5.3,1.6,1.0,0.3,2.3,13.5
Rawle Alkins,Arizona,60,.450,.365,.729,4.9,2.2,1.0,0.6,2.1,11.8
Grayson Allen,Duke,142,.430,.380,.834,3.2,3.0,1.0,0.1,1.7,14.1
Kostas Antetokounmpo,Dayton,29,.574,.133,.516,2.9,0.4,0.2,1.1,1.3,5.2
Deandre Ayton,Arizona,35,.612,.343,.733,11.6,1.6,0.6,1.9,2.0,20.1
Mohamed Bamba,Texas,30,.541,.275,.681,10.5,0.5,0.8,3.7,1.5,12.9
Keita Bates-Diop,Ohio State,109,.472,.352,.776,5.7,1.1,0.6,1.2,1.2,11.7
Jaron Blossomgame,Clemson,128,.488,.316,.724,6.5,1.1,0.6,0.7,1.5,13.5
Jonah Bolden,UCLA,31,.415,.250,.733,4.8,1.1,0.7,0.9,0.8,4.6
Mikal Bridges,Villanova,116,.525,.400,.845,4.3,1.6,1.4,0.9,1.1,11.3
Miles Bridges,Michigan State,62,.470,.375,.776,7.6,2.4,0.6,1.1,2.1,17.0
Isaiah Briscoe,Kentucky,70,.455,.229,.555,5.4,3.7,0.9,0.2,2.2,10.9
Ryan Broekhoff,Valparaiso,134,.464,.408,.818,6.3,1.8,1.0,0.7,1.4,11.9
Bruce Brown,Hampton,114,.602,,.470,5.0,0.4,0.2,1.2,1.8,9.0
Troy Brown,Providence,118,.480,.522,.688,4.2,0.3,0.3,0.5,,5.9
Jalen Brunson,Villanova,116,.510,.393,.820,2.5,3.7,0.8,0.0,1.9,14.4
Deonte Burton,Nevada,130,.439,.337,.751,2.9,4.0,1.3,0.4,2.2,16.2
Jevon Carter,West Virginia,144,.407,.355,.798,3.7,3.9,2.3,0.2,1.8,12.2
Wendell Carter,Texas,48,.505,.667,.364,1.8,0.2,0.4,0.4,,2.5
Troy Caupain,Cincinnati,137,.397,.338,.762,3.6,3.8,1.1,0.2,1.6,9.6
Joe Chealey,College of Charleston,129,.404,.347,.805,3.5,3.1,0.9,0.1,1.9,14.2
Chris Chiozza,Florida,139,.391,.327,.747,3.2,4.1,1.4,0.1,1.6,7.4
Gary Clark,Wake Forest,109,.451,.434,.752,1.1,0.7,0.6,0.1,0.8,5.1
Bonzie Colson,Notre Dame,125,.528,.350,.772,7.2,1.0,1.0,1.2,1.0,13.1
Tyler Davis,Dartmouth,43,.296,.231,.629,0.6,0.2,0.2,0.1,0.3,1.4
Marcus Derrickson,Georgetown,89,.459,.397,.856,5.6,1.4,0.5,0.6,1.7,10.3
Hamidou Diallo,Kentucky,37,.428,.338,.616,3.6,1.2,0.8,0.4,1.4,10.0
Donte DiVincenzo,Villanova,85,.469,.378,.705,4.0,2.4,0.9,0.2,1.6,10.2
Trevon Duval,Duke,37,.428,.290,.596,2.0,5.6,1.5,0.1,2.8,10.3
Vince Edwards,Western Kentucky,53,.390,.000,.423,1.0,1.0,0.3,0.1,,1.4
Drew Eubanks,Oregon State,96,.598,,.693,6.6,0.9,0.5,1.7,2.0,11.7
Jacob Evans,Cincinnati,105,.429,.377,.755,4.3,2.5,1.1,0.9,1.3,11.7
Melvin Frazier,Tulane,94,.481,.312,.653,4.4,1.7,1.6,0.5,2.0,10.6
Billy Garrett,DePaul,125,.386,.323,.841,2.7,3.5,0.9,0.2,2.6,13.1
Harry Giles,Duke,26,.577,,.500,3.8,0.3,0.3,0.7,0.7,3.9
Shai Gilgeous-Alexander,Kentucky,37,.485,.404,.817,4.1,5.1,1.6,0.5,2.7,14.4
Brandon Goodwin,Florida Gulf Coast,68,.490,.314,.769,5.0,4.4,1.3,0.1,2.5,18.5
Devonte' Graham,Kansas,142,.422,.409,.787,3.1,4.5,1.4,0.1,1.9,12.3
Donte Grantham,Clemson,114,.414,.333,.726,4.8,1.9,0.9,0.7,1.5,9.6
Dusty Hannahs,Arkansas,68,.448,.410,.889,2.0,1.1,0.5,0.1,1.5,15.4
Aaron Holiday,UCLA,101,.450,.422,.795,3.2,4.7,1.2,0.2,3.0,14.3
Kevin Huerter,Maryland,65,.466,.394,.748,5.0,3.0,0.8,0.7,1.9,12.0
Isaac Humphries,Kentucky,61,.473,,.650,2.7,0.2,0.2,0.6,0.4,2.4
Chandler Hutchison,Boise State,123,.476,.353,.687,5.5,2.1,1.0,0.2,1.9,12.0
Frank Jackson,Georgia Southern,52,.472,,.550,4.3,0.3,0.2,1.0,,5.0
Jaren Jackson,Georgetown,130,.444,.365,.709,2.9,1.2,1.0,0.2,1.3,7.5
Amile Jefferson,Duke,150,.620,,.575,6.3,0.9,0.6,0.9,0.9,7.2
Alize Johnson,Missouri State,66,.457,.325,.716,11.1,2.4,0.5,0.3,2.3,14.9
B.J. Johnson,Villanova,29,.188,.000,.692,0.4,0.1,0.3,0.0,0.3,0.5
Jemerrio Jones,New Mexico State,68,.503,.138,.573,10.8,3.1,1.1,0.6,2.2,10.4
George King,Colorado,127,.444,.401,.731,5.4,0.7,0.4,0.3,1.5,10.2
Kevin Knox,Kentucky,37,.445,.341,.774,5.4,1.4,0.8,0.3,2.3,15.6
Zach Lofton,New Mexico State,33,.456,.380,.772,5.0,1.7,1.1,0.1,2.2,20.1
Jordan Loyd,Furman,28,.367,.259,.661,3.5,1.8,0.5,0.1,1.6,5.9
Daryl Macon,Arkansas,71,.450,.405,.871,2.8,3.1,1.1,0.1,1.8,15.1
J.P. Macura,Xavier,141,.448,.352,.798,3.2,2.1,1.2,0.2,1.5,10.6
Yante Maten,Georgia,128,.483,.403,.755,6.9,1.0,0.4,1.6,1.9,14.7
Tahjere McCall,Tennessee State,58,.445,.266,.699,5.1,4.0,2.6,0.4,3.4,14.5
De'Anthony Melton,USC,36,.437,.284,.706,4.7,3.5,1.9,1.0,1.8,8.3
Chimezie Metu,USC,104,.533,.302,.692,6.3,1.2,0.7,1.6,1.7,12.3
Sviatoslav Mykhailiuk,Kansas,136,.428,.409,.746,2.5,1.5,0.7,0.2,1.1,8.7
Josh Okogie,Georgia Tech,61,.437,.382,.777,5.8,2.0,1.5,0.8,2.3,16.9
Theo Pinson,UNC,122,.431,.257,.734,4.4,3.4,0.8,0.3,1.5,6.3
Cameron Reynolds,Tulane,135,.387,.334,.716,4.5,1.2,0.6,0.3,1.2,10.1
Duncan Robinson,Michigan,115,.455,.419,.864,2.5,1.2,0.6,0.3,0.7,9.3
Jerome Robinson,Bradley,113,.440,.375,.741,3.2,1.8,0.8,0.6,1.5,8.4
Brandon Sampson,LSU,85,.442,.324,.745,2.3,1.0,0.6,0.2,1.3,7.9
Collin Sexton,Alabama,33,.447,.336,.778,3.8,3.6,0.8,0.1,2.8,19.2
Landry Shamet,Wichita State,71,.480,.437,.811,3.0,4.1,0.8,0.2,1.5,12.9
Jordan Sibert,Dayton,73,.456,.384,.760,2.8,1.7,1.3,0.1,1.5,14.1
Zhaire Smith,Texas Tech,37,.556,.450,.717,5.0,1.8,1.1,1.1,1.1,11.3
Omari Spellman,Villanova,40,.476,.433,.700,8.0,0.8,0.7,1.5,1.0,10.9
Jared Terrell,Rhode Island,134,.406,.365,.763,3.0,2.1,1.3,0.2,1.7,13.1
Khyri Thomas,Creighton,102,.511,.406,.719,4.6,2.5,1.4,0.3,1.6,11.2
Gary Trent,Ohio,93,.573,.246,.687,11.3,2.0,0.6,1.1,3.3,22.7
Allonzo Trier,Arizona,78,.479,.378,.827,3.7,2.4,0.5,0.2,2.0,16.8
Jarred Vanderbilt,Kentucky,14,.426,.000,.632,7.9,1.0,0.4,0.8,1.1,5.9
Moritz Wagner,Michigan,107,.547,.385,.698,4.5,0.5,0.8,0.4,1.2,10.4
Brad Wanamaker,Pitt,134,.437,.344,.722,3.9,3.4,1.0,0.2,1.9,8.1
Julian Washburn,UTEP,130,.435,.341,.699,3.8,2.1,0.9,0.4,1.6,11.7
Yuta Watanabe,George Washington,134,.425,.337,.788,4.5,1.5,0.7,1.1,1.3,10.9
Thomas Welsh,UCLA,132,.537,.407,.798,7.8,0.8,0.4,1.1,0.7,9.5
Johnathan Williams,Charlotte,14,.250,.500,.500,0.1,0.1,0.1,0.0,0.4,0.5
Kenrich Williams,TCU,102,.484,.375,.625,8.6,2.7,1.4,0.7,1.4,11.0
Robert Williams,Florida Atlantic,122,.487,,.551,4.7,0.4,0.4,0.6,1.2,6.6
Trae Young,Oklahoma,32,.422,.360,.861,3.9,8.7,1.7,0.3,5.2,27.4
Jarrett Allen,Texas,33,.566,.000,.564,8.4,0.8,0.6,1.5,2.5,13.4
Kadeem Allen,Arizona,68,.459,.400,.725,3.6,3.3,1.3,0.7,2.0,9.1
Ike Anigbogu,UCLA,29,.564,,.535,4.0,0.2,0.2,1.2,0.8,4.7
OG Anunoby,Indiana,50,.563,.365,.522,3.5,0.8,1.0,0.9,1.1,6.8
Ryan Arcidiacono,Villanova,144,.397,.358,.800,2.3,3.7,1.2,0.0,1.8,11.1
Jamel Artis,Pitt,135,.470,.378,.759,4.6,2.3,0.5,0.3,1.9,12.6
Dwayne Bacon,Florida State,69,.449,.312,.733,5.0,1.6,1.0,0.1,2.1,16.5
Lonzo Ball,UCLA,36,.551,.412,.673,6.0,7.6,1.8,0.8,2.5,14.6
Jordan Bell,Oregon,105,.610,.188,.630,6.8,1.5,1.1,2.2,1.5,7.8
Khem Birch,UNLV,59,.527,,.678,8.2,0.9,0.7,3.3,1.3,9.6
Jabari Bird,California,114,.442,.371,.753,3.3,1.2,0.5,0.3,1.2,10.8
Antonio Blakeney,LSU,64,.444,.347,.736,4.1,1.3,0.7,0.1,1.4,14.8
Chris Boucher,Oregon,69,.532,.344,.641,6.8,0.4,0.6,2.7,1.1,12.0
Tony Bradley,UNC,38,.573,,.619,5.1,0.6,0.3,0.6,0.7,7.1
Dillon Brooks,Oregon,109,.472,.362,.794,4.5,2.6,0.9,0.5,2.1,14.8
Sterling Brown,Washington,32,.435,.353,.533,0.8,0.4,0.1,0.0,0.3,1.7
Thomas Bryant,Indiana,69,.592,.373,.718,6.2,1.2,0.6,1.2,2.0,12.2
Alex Caruso,Texas A&M,137,.455,.340,.685,3.7,4.7,2.0,0.4,2.5,8.0
Tyler Cavanaugh,George Washington,73,.476,.412,.837,8.0,1.6,0.5,0.3,2.4,17.5
Gian Clavell,Colorado State,70,.418,.362,.698,5.2,1.7,1.3,0.6,1.6,15.2
Antonius Cleveland,Southeast Missouri State,121,.494,.288,.612,4.7,2.0,1.3,0.6,1.9,12.9
John Collins,Wake Forest,64,.601,.000,.729,7.0,0.4,0.5,1.2,1.4,13.4
Zach Collins,Gonzaga,39,.652,.476,.743,5.9,0.4,0.5,1.8,1.5,10.0
Kyle Collinsworth,BYU,140,.477,.280,.642,7.5,5.0,1.6,0.4,2.6,12.2
Charles Cooke,Dayton,61,.451,.399,.695,5.5,2.3,1.2,1.1,1.9,15.7
Matt Costello,Michigan State,138,.567,.167,.713,4.7,0.8,0.4,1.1,0.7,6.0
Torrey Craig,USC Upstate,131,.413,.330,.671,7.2,1.8,1.1,0.8,2.6,16.2
Tyler Dorsey,Oregon,75,.455,.416,.732,3.9,1.8,0.8,0.1,1.7,14.1
Damyean Dotson,Houston,64,.485,.412,.832,6.9,1.2,0.8,0.2,1.0,15.6
Milton Doyle,Loyola (IL),121,.438,.344,.718,4.1,3.8,1.2,0.6,3.1,13.3
PJ Dozier,South Carolina,70,.398,.277,.579,3.9,2.4,1.3,0.3,2.4,10.4
Jawun Evans,Oklahoma State,54,.448,.407,.818,3.8,5.8,1.5,0.1,2.7,16.6
De'Aaron Fox,Kentucky,36,.479,.246,.736,4.0,4.6,1.5,0.2,2.4,16.7
Markelle Fultz,Washington,25,.476,.413,.649,5.7,5.9,1.6,1.2,3.2,23.2
Josh Gray,LSU,63,.415,.242,.610,2.1,2.8,1.0,0.0,2.0,6.3
Daniel Hamilton,UConn,71,.384,.337,.772,8.3,4.2,1.0,0.4,2.3,11.7
Shaquille Harrison,Tulsa,133,.444,.216,.645,4.5,3.5,1.8,0.4,2.3,11.1
Josh Hart,Villanova,146,.511,.389,.720,5.6,1.8,1.1,0.3,1.3,13.2
Nigel Hayes,Wisconsin,150,.446,.332,.666,5.3,2.1,0.9,0.4,1.6,12.4
Reggie Hearn,Northwestern,95,.457,.353,.752,2.8,1.0,0.6,0.2,1.2,7.1
Myke Henry,DePaul,63,.500,.371,.706,5.8,1.1,1.0,0.4,2.3,12.8
Isaiah Hicks,UNC,151,.573,.167,.725,3.6,0.7,0.3,0.5,1.1,7.4
John Holland,Boston University,129,.434,.355,.807,5.6,1.2,1.6,0.3,1.9,17.1
Vince Hunter,UTEP,67,.540,.333,.604,7.9,1.5,1.0,0.9,2.4,13.6
Andre Ingram,American,118,.393,.385,.787,4.5,1.7,1.0,0.1,1.8,14.0
Jonathan Isaac,Florida State,32,.508,.348,.780,7.8,1.2,1.2,1.5,1.5,12.0
Wesley Iwundu,Kansas State,132,.463,.338,.688,4.7,2.8,0.9,0.4,2.1,9.5
Aaron Jackson,Duquesne,120,.521,.342,.772,4.5,4.2,1.4,0.1,2.3,11.9
Josh Jackson,South Carolina State,30,.530,,.577,4.7,1.0,0.2,0.4,2.3,8.0
Justin Jackson,Tennessee,6,.000,,.000,0.5,0.0,0.0,0.0,0.0,0.0
Mike James,Duquesne,111,.444,.329,.726,3.0,3.1,1.8,0.1,,12.7
Dakari Johnson,Kentucky,78,.537,,.559,4.3,0.5,0.3,0.8,0.9,5.8
Omari Johnson,Oregon State,120,.418,.293,.600,4.0,0.7,0.6,0.3,1.3,6.4
Jalen Jones,Texas A&M,64,.436,.317,.715,6.9,0.7,0.8,0.4,1.5,14.5
Luke Kennard,Duke,73,.461,.383,.867,4.3,2.0,0.9,0.3,1.2,15.7
Luke Kornet,Vanderbilt,128,.417,.320,.779,4.8,1.1,0.4,1.6,1.1,8.9
Kyle Kuzma,Utah,96,.506,.302,.633,5.5,1.5,0.3,0.4,1.6,10.1
T.J. Leaf,UCLA,35,.617,.466,.679,8.2,2.4,0.6,1.1,1.5,16.3
Damion Lee,Louisville,30,.428,.341,.843,3.9,2.0,1.5,0.0,1.7,15.9
Tyler Lydon,Syracuse,71,.476,.400,.809,7.4,1.6,1.1,1.6,1.5,11.6
Lauri Markkanen,Arizona,37,.492,.423,.835,7.2,0.9,0.4,0.5,1.1,15.6
Frank Mason,Kansas,145,.454,.420,.761,3.4,4.0,1.1,0.1,1.9,13.0
Mangok Mathiang,Louisville,114,.506,,.599,4.8,0.5,0.5,1.3,0.9,4.8
Erik McCree,Louisiana Tech,99,.464,.348,.735,7.3,1.0,0.6,0.5,2.2,14.9
Trey McKinney-Jones,Miami (FL),69,.436,.385,.815,3.4,1.5,0.7,0.0,1.1,8.1
Alfonzo McKinnie,Green Bay,42,.449,.351,.535,4.8,0.2,0.5,0.5,1.1,7.3
Malcolm Miller,Holy Cross,112,.445,.370,.765,4.8,1.5,0.8,1.3,1.6,9.0
Donovan Mitchell,Louisville,65,.418,.329,.788,4.1,2.2,1.5,0.3,1.3,11.7
Malik Monk,Kentucky,38,.450,.397,.822,2.5,2.3,0.9,0.5,2.0,19.8
Ben Moore,SMU,135,.539,.200,.663,5.8,1.8,0.8,0.9,1.4,9.0
Monte Morris,Iowa State,140,.476,.381,.780,3.7,5.5,1.6,0.3,1.2,12.2
Johnathan Motley,Baylor,102,.519,.240,.654,6.4,1.3,0.4,1.2,2.0,12.0
Abdel Nader,Iowa State,67,.454,.321,.745,4.0,1.1,0.7,0.6,1.7,9.5
Royce O'Neale,Baylor,71,.483,.448,.683,5.6,3.1,1.0,0.3,1.7,8.5
Semi Ojeleye,SMU,35,.487,.424,.785,6.9,1.5,0.4,0.4,1.4,19.0
Marcus Paige,UNC,141,.407,.374,.848,2.8,4.3,1.4,0.2,1.9,13.3
Justin Patton,Creighton,35,.676,.533,.517,6.2,1.2,0.9,1.4,1.7,12.9
Brandon Paul,Illinois,138,.384,.325,.724,3.8,2.2,1.1,0.5,2.3,12.0
London Perrantes,Virginia,138,.405,.409,.812,2.7,4.1,0.9,0.1,1.5,8.9
Alec Peters,Valparaiso,134,.487,.416,.846,7.4,1.5,0.8,0.3,1.9,17.5
Jacob Pullen,Kansas State,135,.408,.361,.770,2.4,3.4,1.6,0.1,2.6,15.8
Rodney Purvis,UConn,102,.410,.360,.676,3.2,1.9,0.9,0.2,1.7,12.8
Ivan Rabb,California,65,.544,.409,.666,9.4,1.2,0.6,1.1,1.8,13.2
Xavier Rathan-Mayes,Florida State,100,.424,.294,.666,3.2,4.5,1.0,0.0,2.6,12.4
Davon Reed,Miami (FL),131,.430,.395,.779,3.6,1.6,0.9,0.4,1.4,10.3
Devin Robinson,Florida,105,.450,.336,.714,4.9,0.6,0.6,0.6,0.9,8.9
Ben Simmons,LSU,33,.560,.333,.670,11.8,4.8,2.0,0.8,3.4,19.2
Kobi Simmons,Arizona,37,.395,.327,.775,1.6,2.0,0.6,0.1,1.2,8.7
Dennis Smith,Utah,3,.667,,1.000,1.3,0.0,0.0,0.0,,3.3
Edmond Sumner,Xavier,58,.429,.285,.730,3.5,3.8,1.2,0.4,2.2,11.4
Caleb Swanigan,Purdue,69,.501,.376,.760,10.4,2.4,0.4,0.5,3.0,14.4
Jayson Tatum,Duke,29,.452,.342,.849,7.3,2.1,1.3,1.1,2.6,16.8
Sindarius Thornwell,South Carolina,132,.392,.339,.771,5.2,3.0,1.5,0.6,2.5,14.7
Tyrone Wallace,California,129,.415,.292,.613,5.2,3.4,1.1,0.4,2.2,12.6
Derrick Walton,Michigan,127,.404,.401,.837,4.4,3.9,1.1,0.0,1.8,11.6
Jameel Warney,Stony Brook,135,.596,,.592,9.4,1.6,0.8,2.0,1.4,15.8
James Webb,Boise State,63,.518,.330,.676,8.6,0.8,1.3,0.6,1.3,13.5
Derrick White,Colorado,34,.507,.396,.813,4.1,4.4,1.2,1.4,2.4,18.1
Jacob Wiley,Eastern Washington,34,.643,.714,.828,9.1,2.4,0.8,2.8,3.8,20.4
C.J. Williams,Boise State,108,.388,.312,.571,1.9,2.3,0.9,0.0,1.8,5.2
Matt Williams,Colorado State,113,.529,.000,.710,4.4,1.3,0.5,0.5,1.9,8.7
D.J. Wilson,Michigan,69,.525,.363,.817,3.3,0.8,0.4,1.0,0.8,7.1
Jamil Wilson,Marquette,101,.439,.344,.704,5.0,1.8,0.6,0.9,1.5,9.4
Ron Baker,Wichita State,124,.433,.369,.801,4.2,2.8,1.3,0.6,1.4,13.2
Wade Baldwin,Vanderbilt,68,.431,.422,.800,4.1,4.8,1.3,0.2,2.3,11.6
Malik Beasley,Florida State,34,.471,.387,.813,5.3,1.5,0.9,0.2,1.7,15.6
DeAndre' Bembry,St. Joseph's,101,.457,.312,.628,6.7,3.6,1.4,0.8,2.5,15.7
Ben Bentil,Providence,69,.455,.324,.761,6.3,0.9,0.6,0.7,1.6,13.8
Joel Bolomboy,Weber State,130,.528,.371,.713,10.1,0.7,0.6,1.4,2.0,11.4
Malcolm Brogdon,Virginia,136,.430,.365,.876,4.1,2.5,0.9,0.2,1.5,13.3
Jaylen Brown,California,34,.431,.294,.654,5.4,2.0,0.8,0.6,3.1,14.6
Marquese Chriss,Washington,34,.530,.350,.682,5.4,0.8,0.9,1.6,2.0,13.7
Semaj Christon,Xavier,64,.462,.338,.670,2.8,4.4,1.4,0.2,3.1,16.2
Quinn Cook,Duke,143,.432,.375,.853,2.7,3.6,1.1,0.1,1.4,11.0
Deyonta Davis,Michigan State,35,.598,,.605,5.5,0.7,0.3,1.8,0.9,7.5
Malcolm Delaney,Virginia Tech,136,.401,.363,.845,3.5,4.0,1.3,0.2,2.8,16.6
Cheick Diallo,Kansas,27,.569,,.556,2.5,0.0,0.3,0.9,0.6,3.0
Kris Dunn,Providence,95,.450,.354,.693,5.1,5.8,2.2,0.4,3.3,12.8
Henry Ellenson,Marquette,33,.446,.288,.749,9.7,1.8,0.8,1.5,2.4,17.0
Joel Embiid,Kansas,28,.626,.200,.685,8.1,1.4,0.9,2.6,2.4,11.2
Dorian Finney-Smith,Florida,101,.428,.361,.673,7.1,1.9,0.8,0.7,1.8,12.1
Bryn Forbes,Michigan State,74,.467,.458,.827,1.7,1.2,0.5,0.1,0.8,11.3
Patricio Garino,George Washington,129,.508,.364,.671,4.3,1.7,1.7,0.7,2.2,12.0
Michael Gbinije,Syracuse,101,.452,.387,.631,3.6,3.0,1.5,0.3,1.8,11.3
Marcus Georges-Hunt,Georgia Tech,130,.433,.329,.749,4.5,2.2,0.9,0.2,1.7,13.3
Jonathan Gibson,New Mexico State,131,.436,.398,.758,1.9,1.8,1.0,0.0,1.6,11.8
Treveon Graham,VCU,140,.432,.354,.691,5.8,1.4,0.8,0.2,1.4,13.4
A.J. Hammons,Purdue,132,.539,.261,.690,7.0,0.8,0.4,2.6,2.1,12.1
Andrew Harrison,Kentucky,79,.372,.367,.777,2.7,3.8,0.8,0.2,2.2,10.1
Buddy Hield,Oklahoma,132,.448,.390,.836,5.0,1.9,1.3,0.3,2.2,17.4
Danuel House,Texas A&M,62,.404,.344,.686,4.3,2.1,0.6,0.4,1.8,15.3
Brandon Ingram,Duke,36,.442,.410,.682,6.8,2.0,1.1,1.4,2.0,17.3
Demetrius Jackson,Pacific,57,.402,.348,.837,2.8,3.3,1.1,0.1,3.4,13.4
Pierre Jackson,Baylor,74,.441,.379,.808,3.3,6.5,1.6,0.0,3.5,16.7
Brice Johnson,UNC,148,.577,,.715,7.0,0.9,0.8,1.1,1.3,11.9
Damian Jones,Vanderbilt,99,.566,.125,.565,6.4,0.7,0.4,1.7,2.0,13.3
Derrick Jones,Samford,61,.443,.390,.634,4.1,2.1,0.6,0.3,2.8,11.2
Skal Labissiere,Kentucky,36,.516,.000,.661,3.1,0.3,0.3,1.6,0.9,6.6
Jake Layman,Maryland,141,.445,.362,.759,4.8,1.1,0.9,0.8,1.4,10.2
Caris LeVert,Michigan,103,.434,.401,.770,3.5,2.7,0.9,0.2,1.3,10.4
Shawn Long,Louisiana,135,.503,.341,.676,10.7,1.1,0.7,2.0,2.4,17.3
Patrick McCaw,UNLV,65,.439,.367,.753,4.2,3.3,2.0,0.4,1.9,12.2
Rodney McGruder,Kansas State,135,.452,.381,.759,4.8,1.4,0.9,0.3,1.3,11.7
Dejounte Murray,Washington,34,.416,.288,.663,6.0,4.4,1.8,0.3,3.2,16.1
Jamal Murray,Kentucky,36,.454,.408,.783,5.2,2.2,1.0,0.3,2.3,20.0
Maurice Ndour,Ohio,66,.498,.388,.757,7.6,1.6,0.8,1.9,2.7,14.8
Georges Niang,Iowa State,138,.500,.375,.763,5.2,3.1,0.7,0.5,2.3,16.1
David Nwaba,Cal Poly,88,.473,.167,.650,5.3,2.0,1.1,0.6,1.6,11.9
Daniel Ochefu,Villanova,141,.600,.000,.622,6.6,1.3,0.8,1.3,1.6,7.2
Chinanu Onuaku,Louisville,66,.619,.000,.547,6.4,1.1,0.8,1.6,1.7,6.2
Gary Payton,Oregon State,120,.485,.369,.684,4.0,7.8,2.7,0.5,3.3,18.1
Marshall Plumlee,Duke,124,.665,1.000,.555,3.8,0.5,0.4,0.8,0.5,3.4
Jakob Poeltl,Utah,70,.658,.000,.605,8.0,1.3,0.5,1.7,1.8,13.3
Alex Poythress,Kentucky,112,.551,.302,.686,5.3,0.5,0.4,0.7,1.3,8.6
Tim Quarterman,LSU,99,.397,.310,.660,3.9,3.1,1.0,0.4,1.7,8.4
Chasson Randle,Stanford,144,.428,.386,.806,3.3,2.5,1.2,0.1,2.3,16.5
