Player,School,G,FGP,3P%,FTP,TRB,AST,STL,BLK,TOV,PTS
Malachi Richardson,Syracuse,37,.369,.353,.720,4.3,2.1,1.1,0.3,2.1,13.4
Domantas Sabonis,Gonzaga,74,.632,.357,.729,9.4,1.3,0.5,0.6,2.0,13.5
Wayne Selden,Kansas,109,.436,.366,.632,3.0,2.6,0.7,0.4,1.9,11.0
Pascal Siakam,New Mexico State,68,.551,.176,.711,9.7,1.5,0.9,2.0,1.9,16.6
Diamond Stone,Maryland,35,.568,,.761,5.4,0.4,0.5,1.6,1.5,12.5
Isaiah Taylor,Texas,92,.404,.294,.792,3.1,4.5,1.0,0.1,2.3,13.6
Mike Tobey,Virginia,138,.531,.316,.704,4.0,0.4,0.2,0.7,0.8,6.8
Tyler Ulis,Kentucky,72,.427,.371,.846,2.4,5.3,1.2,0.1,1.5,11.3
Jarrod Uthoff,Iowa,100,.450,.383,.795,5.8,1.2,0.8,1.8,1.0,13.0
Denzel Valentine,Michigan State,144,.442,.408,.779,5.9,4.4,0.9,0.3,2.2,11.4
Okaro White,Florida State,139,.494,.327,.799,5.1,0.7,0.7,0.8,1.6,10.1
Isaiah Whitehead,Seton Hall,56,.375,.359,.757,3.7,4.5,1.3,1.1,3.4,15.8
Troy Williams,Centenary (LA),37,.618,,.733,1.9,0.1,0.2,0.3,,1.4
Kyle Wiltjer,Gonzaga,74,.514,.449,.828,6.3,1.7,0.4,0.7,1.6,18.6
Cliff Alexander,Kansas,28,.566,,.671,5.3,0.4,0.2,1.3,1.0,7.1
Justin Anderson,Virginia,98,.430,.357,.752,3.5,1.8,0.6,0.9,1.3,8.9
Keith Appling,Michigan State,142,.431,.334,.748,3.0,3.3,1.1,0.5,2.1,10.6
Devin Booker,Clemson,128,.496,.275,.658,5.7,0.8,0.6,0.6,1.6,9.0
Anthony Brown,Oklahoma State,47,.482,.143,.569,2.3,0.3,0.3,0.4,0.4,3.0
Willie Cauley-Stein,Kentucky,105,.593,,.508,6.2,0.9,1.1,2.2,1.2,8.0
Rakeem Christmas,Syracuse,142,.560,.000,.681,5.3,0.6,0.5,1.7,1.1,7.4
Coty Clarke,Arkansas,65,.469,.442,.777,5.4,1.8,1.5,0.6,1.3,8.6
Pat Connaughton,Notre Dame,139,.450,.386,.777,5.9,1.8,0.7,0.5,1.0,10.5
Branden Dawson,Michigan State,130,.559,.000,.558,6.9,1.4,1.3,1.1,1.7,10.1
Sam Dekker,Wisconsin,113,.493,.348,.695,5.0,1.3,0.6,0.5,1.0,12.1
Duje Dukan,Wisconsin,97,.427,.328,.656,1.7,0.4,0.1,0.0,0.4,3.1
Jarell Eddie,Virginia Tech,123,.385,.365,.812,4.6,1.1,0.3,0.5,1.5,9.6
Jerian Grant,Notre Dame,119,.436,.345,.790,2.9,5.8,1.5,0.3,2.2,14.6
Montrezl Harrell,Louisville,112,.586,.275,.533,6.9,0.9,0.8,1.1,1.3,11.6
Aaron Harrison,Kentucky,79,.410,.335,.787,2.8,1.6,1.1,0.2,1.3,12.4
Darrun Hilliard,Villanova,132,.436,.367,.748,3.0,1.9,1.3,0.4,1.6,11.4
Rondae Hollis-Jefferson,Arizona,76,.496,.205,.697,6.3,1.5,0.9,0.9,1.4,10.2
Richaun Holmes,Bowling Green State,95,.554,.353,.697,6.9,0.7,0.8,2.6,1.5,11.5
Josh Huestis,Stanford,135,.451,.319,.610,6.2,0.8,0.5,1.4,0.9,7.5
R.J. Hunter,Georgia State,99,.423,.354,.853,4.8,2.4,1.9,0.9,1.7,18.4
Stanley Johnson,Arizona,38,.446,.371,.742,6.5,1.7,1.5,0.4,2.2,13.8
Tyus Jones,Duke,39,.417,.379,.889,3.5,5.6,1.5,0.1,1.9,11.8
Frank Kaminsky,Wisconsin,144,.522,.369,.763,4.6,1.3,0.5,1.1,0.8,10.1
Sasha Kaun,Kansas,135,.568,,.512,3.9,0.3,0.4,1.1,0.8,6.1
Kevon Looney,UCLA,36,.470,.415,.626,9.2,1.4,1.3,0.9,1.3,11.6
Trey Lyles,Kentucky,36,.488,.138,.735,5.2,1.1,0.5,0.4,1.1,8.7
Jarell Martin,LSU,65,.494,.308,.689,6.9,1.4,1.0,0.7,2.2,13.7
T.J. McConnell,Arizona,76,.477,.343,.742,3.7,5.8,1.9,0.1,1.9,9.4
Chris McCullough,Syracuse,16,.478,1.000,.563,6.9,1.1,1.7,2.1,2.2,9.3
Jordan McRae,Tennessee,114,.417,.343,.769,3.3,1.8,0.6,0.9,2.0,13.3
Jordan Mickey,LSU,65,.518,.071,.669,8.8,1.2,0.8,3.4,2.8,14.0
Xavier Munford,Rhode Island,61,.398,.335,.710,3.4,2.2,1.1,0.4,2.7,17.1
Larry Nance,,Clemson,4.7,,2.0,6.7,1.5,0.9,0.9,1.9,11.5
J.J. O'Brien,San Diego State,105,.481,.288,.605,4.8,1.7,1.0,0.3,1.4,8.5
Jahlil Okafor,Duke,38,.664,,.510,8.5,1.3,0.8,1.4,2.5,17.3
Kelly Oubre,Kansas,36,.444,.358,.718,5.0,0.8,1.1,0.4,1.2,9.3
Lamar Patterson,Pitt,149,.435,.369,.723,3.9,2.9,1.0,0.3,1.6,9.5
Cameron Payne,Murray State,69,.432,.359,.781,3.7,5.7,1.8,0.5,2.9,18.5
Bobby Portis,Arkansas,70,.526,.365,.737,7.9,1.3,1.1,1.5,1.4,15.0
Norman Powell,UCLA,141,.461,.314,.746,3.0,1.5,1.1,0.4,1.3,9.8
Willie Reed,Saint Louis,67,.574,,.500,6.3,0.5,0.5,1.7,1.4,10.2
Josh Richardson,North Texas,28,.445,.000,.560,2.8,0.5,0.5,0.1,1.0,6.1
Terry Rozier,Louisville,73,.408,.331,.772,4.3,2.4,1.5,0.1,1.4,12.0
D'Angelo Russell,Ohio State,35,.449,.411,.756,5.7,5.0,1.6,0.3,2.9,19.3
Jonathon Simmons,Houston,30,.512,.386,.716,5.0,2.2,0.7,0.4,3.3,14.7
Alex Stepheson,USC,62,.518,,.505,8.3,0.2,0.3,1.3,1.6,9.2
Karl-Anthony Towns,Kentucky,39,.566,.250,.813,6.7,1.1,0.5,2.3,1.4,10.3
Myles Turner,Texas,34,.455,.274,.839,6.5,0.6,0.3,2.6,1.4,10.1
Rashad Vaughn,UNLV,23,.439,.383,.694,4.8,1.6,0.8,0.3,2.2,17.8
Briante Weber,VCU,127,.426,.274,.769,3.3,3.0,2.9,0.2,1.5,6.8
Alan Williams,Wake Forest,29,.429,.333,.750,0.4,0.1,0.1,0.0,0.0,0.9
Justise Winslow,Duke,39,.486,.418,.641,6.5,2.1,1.3,0.9,1.8,12.6
Christian Wood,UNLV,63,.477,.261,.747,6.8,0.8,0.3,1.9,1.5,10.4
Delon Wright,Utah,68,.535,.299,.814,5.8,5.2,2.3,1.1,2.2,15.0
Joe Young,Canisius,29,.377,.340,.737,1.8,0.6,0.6,0.1,0.7,3.8
Jordan Adams,UCLA,69,.467,.331,.839,4.6,2.1,2.4,0.2,1.4,16.4
Cameron Bairstow,New Mexico,134,.517,.333,.717,4.8,0.8,0.5,0.7,1.2,9.2
Jerrelle Benimon,Towson,67,.531,.366,.689,11.2,3.1,0.7,1.6,3.6,18.0
Sim Bhullar,New Mexico State,65,.633,,.496,7.2,1.0,0.1,2.9,1.6,10.2
Tarik Black,Kansas,33,.692,.000,.600,3.9,0.3,0.3,0.5,0.7,5.5
Jabari Brown,Missouri,60,.444,.391,.794,4.0,1.7,0.7,0.1,2.1,17.3
Markel Brown,Oklahoma State,134,.439,.347,.733,4.3,2.3,1.0,0.8,1.8,12.4
Will Cherry,Montana,116,.430,.285,.718,3.6,3.4,2.3,0.3,2.4,12.8
Patrick Christopher,California,134,.450,.342,.816,3.8,1.8,0.8,0.1,1.5,12.7
Jordan Clarkson,Missouri,35,.448,.281,.831,3.8,3.4,1.1,0.2,2.7,17.5
Jack Cooley,Notre Dame,123,.601,.500,.663,6.4,0.5,0.4,0.9,0.9,8.3
Bryce Cotton,Providence,130,.421,.361,.838,2.8,3.0,0.9,0.1,1.5,15.2
Andre Dawkins,Duke,142,.433,.407,.769,1.6,0.5,0.4,0.1,0.6,7.1
Spencer Dinwiddie,Colorado,86,.420,.386,.830,3.3,2.6,1.1,0.3,1.8,13.0
Larry Drew,5.0,0.2,3.54,4.8,2.5,2.8,3.7,1.1,0.1,3.7,12.0
Cleanthony Early,Wichita State,75,.470,.348,.819,5.7,0.7,0.8,0.8,1.7,15.1
James Ennis,Long Beach State,67,.493,.354,.788,5.4,2.4,1.7,1.0,2.5,13.2
Tyler Ennis,Syracuse,34,.411,.353,.765,3.4,5.5,2.1,0.2,1.7,12.9
Tim Frazier,Penn State,135,.418,.310,.774,3.9,4.7,1.5,0.1,2.6,11.4
Langston Galloway,St. Joseph's,133,.438,.426,.821,4.5,2.2,1.3,0.5,1.2,15.0
Aaron Gordon,Arizona,38,.495,.356,.422,8.0,2.0,0.9,1.0,1.4,12.4
Drew Gordon,New Mexico,61,.535,1.000,.722,10.8,1.0,0.9,1.1,2.3,13.4
Jerami Grant,Syracuse,72,.486,.300,.641,4.7,0.9,0.6,0.5,0.9,7.5
Erick Green,Virginia Tech,129,.437,.338,.804,2.6,2.5,1.2,0.2,1.4,13.5
JaMychal Green,Alabama,123,.519,.176,.711,7.4,1.2,1.0,1.7,2.5,13.5
P.J. Hairston,UNC,71,.388,.349,.800,3.2,1.0,0.8,0.3,0.9,10.0
Gary Harris,Michigan State,69,.440,.376,.788,3.3,2.0,1.6,0.3,1.6,14.9
Joe Harris,Central Arkansas,15,.452,.375,.000,1.6,0.3,0.2,0.0,0.4,3.1
Rodney Hood,Duke,35,.464,.420,.807,3.9,2.1,0.7,0.3,1.5,16.1
Cory Jefferson,Baylor,130,.543,.340,.660,5.6,0.4,0.3,1.3,0.8,8.9
Grant Jerrett,Arizona,34,.409,.405,.818,3.6,0.5,0.5,1.0,0.6,5.2
Nick Johnson,Arizona,108,.421,.359,.734,3.7,2.8,1.3,0.6,1.8,12.3
Tyler Johnson,Centenary (LA),5,.333,1.000,,0.6,0.2,0.2,0.0,0.0,0.6
Sean Kilpatrick,Cincinnati,140,.419,.347,.780,4.3,2.0,1.2,0.2,1.7,15.3
Alex Kirk,Washington State,4,,,,0.0,0.3,0.0,0.0,0.0,0.0
Zach LaVine,UCLA,37,.441,.375,.691,2.5,1.8,0.9,0.2,1.1,9.4
Kalin Lucas,Michigan State,141,.425,.377,.796,1.9,4.0,1.0,0.1,2.3,14.2
James Michael McAdoo,UNC,108,.447,.000,.569,5.9,1.0,1.2,0.5,1.6,11.4
K.J. McDaniels,Clemson,94,.450,.313,.767,4.8,0.9,0.9,1.9,1.5,11.0
Doug McDermott,Creighton,145,.550,.458,.831,7.5,1.3,0.2,0.1,2.2,21.7
Mitch McGary,Michigan,47,.588,.000,.513,6.6,0.8,1.2,0.7,1.3,7.8
Jerel McNeal,Marquette,130,.440,.347,.717,4.7,3.5,2.2,0.5,3.4,15.3
Elijah Millsap,Alabama-Birmingham,34,.435,.241,.695,9.5,1.8,1.6,0.3,3.5,16.1
Eric Moreland,Oregon State,89,.535,.333,.531,8.6,1.3,0.8,2.1,1.8,7.2
Shabazz Napier,UConn,143,.411,.375,.813,4.0,4.5,1.8,0.2,2.4,13.7
Nerlens Noel,Kentucky,24,.590,,.529,9.5,1.6,2.1,4.4,1.9,10.5
Johnny O'Bryant,LSU,91,.467,.222,.619,7.7,1.3,0.5,0.8,2.9,12.7
Jabari Parker,Duke,35,.473,.358,.748,8.7,1.2,1.1,1.2,2.3,19.1
Adreian Payne,Michigan State,138,.526,.409,.755,5.3,0.6,0.6,1.0,1.4,8.9
Elfrid Payton,Louisiana,100,.485,.268,.611,5.1,4.9,2.0,0.5,3.4,14.3
Dwight Powell,Stanford,136,.464,.289,.722,6.3,1.8,0.9,0.9,2.1,10.8
Julius Randle,Kentucky,40,.501,.167,.706,10.4,1.4,0.5,0.8,2.5,15.0
Glenn Robinson,Purdue,62,.479,.385,.773,9.7,1.9,1.8,1.0,3.9,27.5
JaKarr Sampson,St. John's (NY),66,.469,.077,.607,6.4,1.1,0.9,1.0,1.8,13.9
Marcus Smart,Oklahoma State,64,.413,.295,.751,5.9,4.5,2.9,0.6,3.0,16.6
Russ Smith,Louisville,133,.413,.345,.760,2.7,2.8,1.9,0.1,2.4,14.3
Nik Stauskas,Michigan,75,.467,.441,.832,2.9,2.3,0.6,0.3,1.5,14.1
David Stockton,Gonzaga,138,.424,.306,.700,1.6,3.1,1.2,0.1,1.5,4.8
Jarnell Stokes,Tennessee,87,.530,.000,.628,9.6,1.5,0.7,1.1,2.1,13.0
Noah Vonleh,Indiana,30,.523,.485,.716,9.0,0.6,0.9,1.4,2.1,11.3
T.J. Warren,NC State,70,.555,.315,.654,5.7,1.0,1.5,0.5,1.7,18.5
David Wear,UCLA,103,.477,.413,.755,5.0,0.8,0.6,0.2,1.0,7.9
Travis Wear,UCLA,96,.517,.400,.807,4.7,0.8,0.7,1.0,0.9,9.8
Shayne Whittington,Western Michigan,114,.515,.167,.760,6.5,0.7,0.5,1.1,1.3,9.8
Andrew Wiggins,Kansas,35,.448,.341,.775,5.9,1.5,1.2,1.0,2.3,17.1
C.J. Wilcox,Washington,131,.433,.389,.840,3.4,1.6,0.9,0.7,1.4,14.4
James Young,Kentucky,40,.407,.349,.706,4.3,1.7,0.8,0.2,1.9,14.3
Steven Adams,Pitt,32,.571,,.443,6.3,0.6,0.7,2.0,1.1,7.2
Chris Babb,Iowa State,67,.385,.353,.714,3.8,1.9,1.1,0.2,0.8,8.4
Anthony Bennett,UNLV,35,.533,.375,.701,8.1,1.0,0.7,1.2,1.9,16.1
Vander Blue,Marquette,106,.429,.277,.704,3.5,2.0,1.0,0.1,2.0,9.3
Lorenzo Brown,NC State,101,.429,.305,.741,4.2,5.8,1.7,0.5,3.0,11.6
Reggie Bullock,Morgan State,46,.426,.100,.522,2.0,0.4,0.6,0.1,,2.8
Trey Burke,Michigan,73,.450,.367,.777,3.3,5.7,1.3,0.5,2.5,16.9
Dwight Buycks,Marquette,68,.443,.360,.687,3.0,2.8,1.1,0.0,2.0,7.7
Nick Calathes,Florida,72,.455,.380,.715,5.3,6.3,1.8,0.1,3.1,16.3
Kentavious Caldwell-Pope,Georgia,64,.415,.339,.752,6.1,1.5,1.9,0.4,1.6,15.8
Isaiah Canaan,Murray State,132,.450,.419,.803,2.8,2.9,1.2,0.1,2.4,15.5
Michael Carter-Williams,Syracuse,66,.398,.307,.679,3.6,5.2,2.0,0.4,2.3,8.2
Dionte Christmas,Temple,130,.426,.360,.778,4.4,2.0,1.2,0.2,2.2,15.7
Ian Clark,Belmont,133,.484,.425,.810,2.9,2.2,1.2,0.2,2.1,14.4
Robert Covington,Tennessee State,118,.476,.422,.802,7.4,1.2,1.5,1.3,2.3,14.8
Allen Crabbe,California,98,.446,.382,.819,5.7,2.2,0.9,0.6,1.9,15.7
Seth Curry,Duke,106,.439,.420,.825,2.3,2.0,1.2,0.2,1.4,13.2
Troy Daniels,VCU,125,.389,.386,.782,2.1,0.4,0.6,0.1,0.6,7.3
Brandon Davies,BYU,135,.522,.333,.660,6.2,1.6,1.0,0.9,2.1,12.4
Dewayne Dedmon,USC,51,.520,.000,.614,6.4,0.5,0.9,1.7,1.5,7.1
Matthew Dellavedova,Saint Mary's,136,.415,.378,.860,3.4,5.6,1.1,0.1,2.5,14.2
Gorgui Dieng,Louisville,102,.545,.333,.640,7.9,1.2,1.0,2.6,1.6,8.3
Shane Edwards,Little Rock,62,.472,.298,.642,4.7,1.0,0.8,0.6,1.7,9.0
Carrick Felix,Arizona State,94,.456,.326,.704,4.8,1.3,1.0,0.8,1.7,10.2
Jamaal Franklin,San Diego State,85,.426,.302,.780,7.0,1.9,1.0,0.6,2.6,13.7
Archie Goodwin,Kentucky,33,.440,.266,.637,4.6,2.7,1.1,0.5,3.1,14.1
Justin Hamilton,Florida,113,.489,.331,.739,2.6,2.7,1.5,0.3,1.5,6.9
Tim Hardaway,UTEP,124,.486,.352,.718,2.6,4.5,2.1,0.2,2.0,12.8
Elias Harris,Gonzaga,135,.517,.356,.723,7.3,1.3,0.9,0.5,1.8,13.8
Solomon Hill,Arizona,139,.481,.375,.745,5.6,2.2,0.9,0.4,2.1,10.3
Scotty Hopson,Tennessee,103,.444,.354,.671,3.1,1.3,0.8,0.2,2.1,12.7
Robbie Hummel,Purdue,127,.443,.389,.841,6.8,2.1,1.0,0.9,1.1,14.0
Ryan Kelly,Eastern Illinois,41,.529,.000,.474,1.9,0.4,0.2,0.3,0.6,1.8
Shane Larkin,Miami (FL),68,.438,.375,.808,3.2,3.6,1.8,0.1,2.1,11.2
Alex Len,Maryland,60,.538,.111,.663,7.0,0.8,0.2,2.1,1.6,9.7
Ray McCallum,,Ball State,7.4,,3.6,2.1,2.4,1.3,0.2,1.9,18.3
CJ McCollum,Lehigh,111,.439,.377,.825,6.3,2.7,2.1,0.5,2.4,21.3
Ben McLemore,Kansas,37,.495,.420,.870,5.2,2.0,1.0,0.7,2.1,15.9
Gal Mekel,Wichita State,62,.379,.306,.809,2.1,2.7,0.4,0.0,2.0,6.7
Tony Mitchell,North Carolina A&T,70,.333,.274,.455,1.5,0.5,0.2,0.1,,2.4
Tony Mitchell,North Carolina A&T,70,.333,.274,.455,1.5,0.5,0.2,0.1,,2.4
Shabazz Muhammad,UCLA,32,.443,.377,.711,5.2,0.8,0.7,0.1,1.6,17.9
Erik Murphy,Florida,136,.514,.435,.757,3.7,0.7,0.4,0.6,1.0,7.7
Toure' Murry,Wichita State,139,.405,.311,.763,4.5,3.1,1.3,0.3,2.4,11.1
Mike Muscala,Bucknell,133,.501,.313,.819,8.2,1.6,0.4,2.0,1.6,15.3
James Nunnally,UCSB,123,.465,.386,.784,5.1,2.0,0.6,0.2,2.2,13.7
Victor Oladipo,Indiana,104,.538,.338,.716,5.2,1.7,1.5,0.5,2.0,10.7
Kelly Olynyk,Gonzaga,101,.594,.333,.709,4.6,1.1,0.5,0.5,1.4,8.9
Arinze Onuaku,Syracuse,134,.648,,.395,6.0,0.5,0.7,1.1,1.4,9.2
Mason Plumlee,Duke,141,.574,.200,.583,7.7,1.5,0.8,1.4,2.0,9.8
Otto Porter,Georgetown,64,.498,.355,.751,7.1,2.1,1.5,0.9,1.3,12.8
Phil Pressey,Missouri,99,.395,.347,.757,3.0,5.9,2.0,0.1,2.7,9.7
Glen Rice,Michigan,134,.569,.480,.797,6.4,2.0,0.8,0.3,1.8,18.2
Andre Roberson,Colorado,105,.516,.350,.582,10.0,1.1,1.6,1.4,1.7,9.6
Peyton Siva,Louisville,144,.417,.291,.737,2.4,4.7,1.8,0.1,2.7,8.4
Chris Smith,UConn,127,.421,.400,.761,2.9,3.4,1.5,0.3,2.3,16.9
Tony Snell,New Mexico,104,.421,.380,.821,2.4,2.0,0.5,0.3,1.5,9.2
James Southerland,Syracuse,112,.449,.370,.740,3.3,0.6,0.9,0.8,0.6,7.9
D.J. Stephens,Memphis,129,.627,.370,.633,3.4,0.3,0.5,1.2,0.4,4.0
Adonis Thomas,Memphis,55,.426,.325,.745,4.0,1.5,0.6,0.7,1.5,10.7
Hollis Thompson,Georgetown,99,.478,.440,.676,4.1,1.1,0.8,0.4,1.1,8.7
Casper Ware,Long Beach State,131,.402,.349,.784,2.5,4.2,1.6,0.1,2.8,14.1
Royce White,Iowa State,34,.534,.333,.498,9.3,5.0,1.2,0.9,3.8,13.4
Jeff Withey,Kansas,117,.568,1.000,.726,5.4,0.6,0.5,2.7,1.2,8.0
Nate Wolters,South Dakota State,127,.450,.342,.803,4.7,5.3,1.5,0.2,2.2,18.5
Cody Zeller,Indiana,72,.592,.000,.756,7.3,1.3,1.2,1.2,2.0,16.1
Quincy Acy,Baylor,139,.602,.429,.708,6.0,0.6,0.7,1.3,1.5,9.8
Josh Akognon,Cal State Fullerton,64,.422,.381,.895,3.3,1.5,1.2,0.1,2.2,22.0
Harrison Barnes,UNC,75,.430,.349,.734,5.5,1.3,0.9,0.4,1.9,16.3
Will Barton,Memphis,70,.471,.299,.733,6.5,2.9,1.5,0.6,2.3,15.2
Aron Baynes,Washington State,122,.546,.333,.698,5.4,0.3,0.3,0.8,1.2,8.7
Kent Bazemore,Old Dominion,140,.447,.334,.581,4.6,2.7,1.8,0.5,2.3,10.1
Bradley Beal,Florida,37,.445,.339,.769,6.7,2.2,1.4,0.8,2.1,14.8
Patrick Beverley,Arkansas,70,.420,.382,.730,5.5,2.8,1.5,0.4,2.0,13.0
Chris Copeland,Colorado,113,.431,.361,.701,3.8,1.0,0.4,0.8,1.2,7.5
Jae Crowder,Marquette,72,.492,.350,.683,7.6,1.8,1.9,0.9,1.0,14.6
Jared Cunningham,Cleveland State,33,.377,.329,.750,2.6,0.4,0.4,0.4,0.7,5.2
Anthony Davis,Austin Peay,124,.420,.311,.728,4.4,2.3,1.6,0.3,2.0,13.3
Andre Drummond,UConn,34,.538,.000,.295,7.6,0.4,0.8,2.7,1.5,10.0
Kim English,Missouri,141,.420,.394,.727,3.0,1.4,1.1,0.2,1.7,11.1
Festus Ezeli,Vanderbilt,121,.562,,.584,4.5,0.1,0.3,1.7,1.6,7.7
Diante Garrett,Iowa State,128,.407,.297,.729,2.8,4.8,1.2,0.2,2.8,10.7
Draymond Green,Michigan State,145,.467,.361,.687,7.6,2.9,1.2,0.8,1.9,10.5
Ben Hansbrough,Notre Dame,69,.469,.425,.780,3.9,4.3,1.1,0.1,2.1,15.1
Maurice Harkless,St. John's (NY),32,.452,.215,.676,8.6,1.5,1.6,1.4,2.5,15.5
John Henson,UNC,109,.497,.208,.484,8.1,1.0,0.6,2.5,1.5,10.3
Justin Holiday,Washington,123,.443,.343,.736,3.6,1.5,0.8,0.5,1.0,5.3
John Jenkins,Vanderbilt,98,.468,.438,.856,2.7,1.1,0.7,0.3,1.3,16.9
Chris Johnson,Dayton,138,.427,.371,.826,6.1,1.1,0.8,0.4,1.1,10.6
Orlando Johnson,UCSB,93,.468,.411,.736,5.8,2.7,1.0,0.6,2.6,19.6
Darius Johnson-Odom,Marquette,105,.444,.403,.722,3.1,2.5,0.9,0.2,2.1,15.7
DeQuan Jones,Miami (FL),111,.440,.169,.632,2.4,0.5,0.5,0.5,1.1,4.6
Kevin Jones,Bradley,9,.000,.000,.000,0.0,0.1,0.0,0.0,0.0,0.0
Perry Jones,Baylor,63,.522,.279,.678,7.4,1.2,0.7,0.7,2.0,13.7
Terrence Jones,Kentucky,76,.467,.328,.638,8.0,1.5,1.2,1.8,1.8,14.0
Kris Joseph,Syracuse,140,.449,.331,.702,4.5,1.5,1.3,0.5,1.6,10.5
Michael Kidd-Gilchrist,Kentucky,40,.491,.255,.745,7.4,1.9,1.0,0.9,2.2,11.9
Doron Lamb,Kentucky,78,.485,.475,.811,2.3,1.6,0.5,0.1,1.2,13.1
Jeremy Lamb,UConn,75,.482,.348,.806,4.7,1.7,1.0,0.6,1.6,14.1
Meyers Leonard,Illinois,65,.567,.083,.729,4.7,0.7,0.3,1.1,1.4,7.7
Damian Lillard,Weber State,104,.446,.390,.867,4.3,3.5,1.2,0.2,2.4,18.6
Scott Machado,Iona,132,.429,.342,.740,3.9,6.7,1.4,0.1,3.3,12.2
Kendall Marshall,UNC,73,.446,.366,.693,2.3,8.0,1.1,0.1,2.6,7.2
Fab Melo,Syracuse,63,.576,,.553,3.8,0.5,0.4,1.8,1.1,4.9
Khris Middleton,Texas A&M,87,.431,.321,.768,4.6,2.0,1.0,0.2,2.0,11.3
Darius Miller,Kentucky,152,.448,.379,.815,3.2,1.8,0.8,0.7,1.4,8.2
Quincy Miller,Baylor,37,.447,.348,.816,4.9,1.4,0.7,0.6,1.8,10.6
Arnett Moultrie,Mississippi State,30,.549,.444,.780,10.5,1.2,0.8,0.8,2.4,16.4
Kevin Murphy,Tennessee Tech,128,.443,.372,.734,4.2,1.9,0.8,0.2,3.0,15.8
